UqID,ID,Region,Location,Contract Type,Property Type,Years,Bedrooms,Bathrooms,Land Size (SQM),Build Size (SQM),FSR,Price IDR,Price ($),Price/SQM ($),Price/Year ($),Availability,Sold Date,Scrape Date,Days listed,Off plan
102,CA999L,North Badung,Canggu,Leasehold,Villa,44,3,,982,282,29%,19000000000,1151515,4083,26171,Available,,Dec/25,,Available
103,UA554L,South Badung,Jimbaran,Leasehold,Villa,29,1,,170,63,37%,4700000000,284848,4521,9822,Available,,Dec/25,,Off Plan
104,PPV4698,Mengwi,Pererenan,Leasehold,Villa,20,2,2,200,60,30%,4663000000,282606,4710,14130,Available,,Dec/25,,Available
105,V015-1885,Mengwi,Munggu,Freehold,Apartment,,1,1,200,,,1995000000,130626,,,Available,,Mar/23,,Available
106,V015-1884,Mengwi,Munggu,Freehold,Apartment,,1,1,80,,,1470000000,99165,,,Sold,Jul/23,May/23,61,Available
107,63059,Central Badung,Seminyak,Freehold,Apartment,,1,1,40,,,3911000000,250000,,,Available,,Feb/24,,Off Plan
108,LAZ115767,North Badung,Babakan,Leasehold,Apartment,,1,1,96,,,2600000000,171848,,,Sold,Sep/23,Feb/23,,Off Plan
109,LAZ117188,Mengwi,Pererenan,Leasehold,Apartment,,1,1,71,,,3375180000,220995,,,Sold,Aug/23,Mar/23,,Available
110,CG1348,North Badung,Berawa,Leasehold,Apartment,,1,1,50,,,1700000000,109049,,,Available,,Nov/23,,Available
111,LHV018,Central Badung,Legian,Leasehold,Apartment,,1,1,54,,,978000000,59962,,,Sold,Jun/24,Apr/24,61,Available
112,LHV018,Central Badung,Legian,Leasehold,Apartment,,1,1,54,,,977700000,60000,,,Available,,Jan/25,,Available
113,TA830L,Tabanan,Nyanyi,Leasehold,Apartment,,1,,3,,,2500000000,153386,,,Available,,Jul/25,,Available
114,TA829L,Tabanan,Nyanyi,Leasehold,Apartment,,1,,4,,,2700000000,163736,,,Available,,Aug/25,,Available
115,,South Badung,Uluwatu,Freehold,Villa,,1,2,,,,4121733000,270277,,,Available,,Jan/23,,Available
116,V005-1356,North Badung,Canggu,Freehold,Villa,,1,1,100,,,3000000000,198286,,,Available,,Feb/23,,Available
117,VCA1088FY,Mengwi,Cemagi,Freehold,Villa,,1,1,200,,,2979578318,201000,,,Sold,Jul/23,May/23,61,Available
118,V006-0521,North Badung,Kerobokan,Freehold,Villa,,1,1,65,,,900000000,59869,,,Sold,Feb/23,Jul/23,,Available
119,FHV492,South Badung,Melasti,Freehold,Villa,,1,1,300,,,2597600000,160000,,,Available,,Jun/25,,Off Plan
120,,Mengwi,Pererenan,Leasehold,Villa,,1,,,,,2910600000,192377,,,Available,,Feb/23,,Available
121,LAZ117083,South Badung,Bingin,Leasehold,Villa,,1,1,125,,,3250000000,212799,,,Sold,Aug/23,Mar/23,,Off Plan
122,LAZ116737,North Badung,Padonan,Leasehold,Villa,,1,2,137,,,3349739862,219330,,,Sold,Sep/23,Mar/23,,Available
123,LAZ92630,North Badung,Berawa,Leasehold,Villa,,1,1,79,,,3731359701,251621,,,Sold,Oct/23,Apr/23,183,Off Plan
124,,North Badung,Canggu,Leasehold,Villa,,1,,,,,1762530000,118008,,,Available,,Jun/23,,Available
125,LAZ94703,North Badung,Umalas,Leasehold,Villa,,1,1,62,,,1800000000,120517,,,Sold,Aug/23,Jun/23,61,Available
