DATE,REGION,LOCATION,TYPE,MGMT,BEDS,COUNT,OCCUPANCY,RATE IDR,RATE USD,MONTHLY IDR,MONTHLY USD,TOTAL REVENUE
Nov/22,Denpasar,Sanur,Villa,Professional,3,17,62.8%,"Rp5,227,002",$332,"Rp66,413,632","$4,222","$71,776"
Aug/25,Central Badung,Kuta,Villa,Individual ,4,30,47.3%,"Rp3,535,011",$214,"Rp43,860,387","$2,660","$71,815"
Nov/25,Mengwi,Mengwi,Villa,Professional,6,31,24.8%,"Rp17,386,090","$1,044","Rp121,702,633","$7,307","$71,835"
Dec/23,North Badung,Canggu,Apartment,Individual ,2,36,77.3%,"Rp1,955,730",$127,"Rp31,626,988","$2,054","$71,903"
Oct/23,Denpasar,Denpasar,Villa,Professional,3,18,56.4%,"Rp5,191,216",$327,"Rp67,180,483","$4,231","$71,919"
Oct/22,Central Badung,Legian,Villa,Professional,6,3,77.0%,"Rp7,155,583",$459,"Rp119,259,718","$7,647","$71,925"
Nov/22,Other,Nusa Lembongan,Villa,Individual ,1,,49.0%,"Rp1,255,715",$80,"Rp17,142,342","$1,090","$71,926"
Oct/25,North Badung,Padonan,Guest House,Professional,1,109,55.5%,"Rp721,502",$43,"Rp11,509,400",$692,"$71,977"
Jul/22,South Badung,Bukit,Apartment,Individual ,1,49,58.3%,"Rp1,800,346",$121,"Rp23,724,526","$1,600","$71,990"
Jul/24,Mengwi,Mengwi,Guest House,Individual ,1,136,53.9%,"Rp713,601",$44,"Rp8,598,590",$529,"$72,041"
Mar/24,North Badung,Kerobokan,Apartment,Individual ,1,75,60.4%,"Rp1,314,476",$83,"Rp1,314,476",$83,"$72,068"
Dec/22,South Badung,Jimbaran,Villa,Professional,2,33,67.2%,"Rp2,811,550",$181,"Rp33,994,271","$2,184","$72,072"
Jul/25,Tabanan,Tabanan,Villa,Professional,4,16,57.1%,"Rp5,844,581",$359,"Rp78,317,326","$4,805","$72,077"
